n_train,repeat,setup,auc,average_precision,brier_score
500,4,greedy,0.4927129316792182,0.010009057267700646,0.019461542955476634
500,5,logistic,0.5445094775658402,0.0113614541671062,0.014687433977906375
500,5,catboost,0.49122708559230144,0.009763325473396152,0.010014627906142593
500,5,hgb,0.5081935786876786,0.010243892440201751,0.01001637053232912
500,5,decision_tree,0.49294794685864424,0.009614697879251458,0.01133902864966803
500,5,figs,0.5037621593302333,0.010023247128413234,0.08534270727695512
500,5,greedy,0.49950606793585917,0.00994935176013756,0.019566789869456883
500,6,logistic,0.5579200502882254,0.011251457324502744,0.013937211145952892
500,6,catboost,0.48670696778562283,0.008806797058131671,0.009261359160524778
500,6,hgb,0.5295049952903164,0.010260513559521216,0.00923561609466
500,6,decision_tree,0.5026822703001792,0.009114235048160044,0.01059139800581807
500,6,figs,0.4969587039963686,0.009144380887632173,0.08429832250154748
500,6,greedy,0.497140635566087,0.00910712542571853,0.01832283928257293
500,7,logistic,0.5718843772732783,0.013301168211580675,0.014518484058427131
500,7,catboost,0.49828529296243534,0.010270185228040588,0.010324317320664073
500,7,hgb,0.508390607318946,0.010845396005362494,0.010277761145916631
500,7,decision_tree,0.49187231942592147,0.009931482068392984,0.011652949321785577
500,7,figs,0.5038143716658584,0.010350042741031391,0.08506543698259914
500,7,greedy,0.5002436867586587,0.01030913345515476,0.019370308389575402
500,8,logistic,0.5475647324222648,0.012497979359530594,0.014682816784616443
500,8,catboost,0.47097752671656673,0.009381673098403587,0.010254618467075243
500,8,hgb,0.5021991235705996,0.010191624416295945,0.010198913818082541
500,8,decision_tree,0.47859107922380273,0.00964514788456352,0.011587264236478545
500,8,figs,0.49673404295891704,0.01009760209525657,0.08536119196324553
500,8,greedy,0.4912154811923078,0.010036725683110861,0.01991277751497787
500,9,logistic,0.5499023899003195,0.012898059675082212,0.014460808774447085
500,9,catboost,0.4987270886938089,0.010204936443391913,0.010308061394743166
500,9,hgb,0.5213477038661936,0.011295296923482285,0.010260261912658629
500,9,decision_tree,0.491125960941171,0.010009208477416778,0.011636499440196263
500,9,figs,0.4999760171259469,0.010219516104367561,0.0850469522963087
500,9,greedy,0.4932339033296019,0.010166540082330526,0.019542530612597624
500,10,logistic,0.5532869567730005,0.015073757100716822,0.0157649438292574
500,10,catboost,0.5069879796578826,0.012450762972137784,0.011254533011926528
500,10,hgb,0.5024554654993065,0.01265875859577421,0.011228560129924058
500,10,decision_tree,0.49907160194174754,0.011100408660510432,0.012549265116700153
500,10,figs,0.5031856796116504,0.011294331550802138,0.08588800552252193
500,10,greedy,0.5005938475208045,0.011310085545605352,0.02055561701275071
500,11,logistic,0.5812221395859413,0.013871968278199188,0.014155431287379942
500,11,catboost,0.4882386943875683,0.009614687891587613,0.009988015901822338
500,11,hgb,0.5183114041128383,0.01045347099488277,0.0099518581936015
500,11,decision_tree,0.4948371300113549,0.009628634867079754,0.01131678911933281
500,11,figs,0.49918271697889915,0.009885436365908808,0.08497301355114713
500,11,greedy,0.4940084207390541,0.0097945514273267,0.019436234314701328
500,12,logistic,0.5737898120687738,0.012411012566056426,0.014606184189168125
500,12,catboost,0.5190739023402391,0.010452769220583545,0.009996814197664758
500,12,hgb,0.5321965845710922,0.010689223378933972,0.009946537558627526
500,12,decision_tree,0.47195373592505196,0.009378120653982514,0.011399776775133014
500,12,figs,0.49991001827179987,0.00989825311942959,0.08522255681606752
500,12,greedy,0.49832587056301825,0.009977197754366876,0.019806542954276637
500,13,logistic,0.5465494693636744,0.011090005161298398,0.013858326327837458
500,13,catboost,0.5044542515242191,0.009681960091024231,0.009538979975736507
500,13,hgb,0.5224996423868437,0.010372534221727445,0.009491156956947962
500,13,decision_tree,0.4836955136146237,0.009110344449262717,0.010904469126941011
500,13,figs,0.5001553649502147,0.009442953272379026,0.08519482978663191
