depth,l2_leaf_reg,feature,importance
4,1,x05,4.666163409684489
4,1,x06,3.6184792908098022
4,1,x07,1.4154676869649285
4,1,x08,1.1786771056486738
4,1,x09,1.604755586502692
4,1,x10,3.143851836777229
4,1,x11,2.2181560684423425
4,1,x12,1.7478317133381698
4,1,x13,2.0116845517727184
4,1,x14,1.8724718589310645
4,1,x15,2.1526684045380833
4,1,x16,1.1990641175567232
4,1,x17,4.6085091982583775
4,1,x18,4.779396773407495
4,1,x19,3.7802454247433324
4,1,x20,2.3123954715444257
4,1,x21,3.206565157581348
4,1,x22,1.8603992667546772
4,1,x23,0.45489329235903975
4,1,x24,2.9445312950344062
4,1,x25,2.8296733889592485
4,1,x26,2.071674594112588
4,1,x27,3.411123107185965
4,1,x28,2.2407687678103962
4,1,x29,0.7934887683275451
4,1,x30,2.3534654285369285
4,1,x31,2.3205060516919347
4,1,x32,1.6982893997167015
4,1,x33,2.1432937382577713
4,1,x34,2.7383291231217366
4,1,x35,1.7263623338270968
4,1,x36,3.847841639870866
4,1,x37,1.4818942380671223
4,1,x38,2.4759209061416607
4,1,x39,3.4210787762269885
4,3,x00,2.8669915354957682
4,3,x01,2.1745648321716127
4,3,x02,0.8137028346607772
4,3,x03,3.0564755334266582
4,3,x04,1.5385717292257617
4,3,x05,6.681984956483628
4,3,x06,3.8484407681774306
4,3,x07,1.7536412576517393
4,3,x08,1.2829176440603465
4,3,x09,1.7221343798862383
4,3,x10,2.133819790563593
4,3,x11,2.9137320481800866
4,3,x12,1.333317089962131
4,3,x13,1.4904644538747036
4,3,x14,2.043821068421236
4,3,x15,1.6527117654510723
4,3,x16,1.470168583436498
4,3,x17,4.9692765166352775
4,3,x18,6.029328118870076
4,3,x19,4.130951133227898
4,3,x20,1.5891739034657142
4,3,x21,4.340403216265987
4,3,x22,2.1751268028414232
4,3,x23,0.7518900812097257
4,3,x24,4.051402979017283
4,3,x25,3.142495484536567
4,3,x26,1.3695331839485076
4,3,x27,3.343828935034485
4,3,x28,2.1695581442384797
4,3,x29,1.2441572427552665
4,3,x30,2.295102868757357
4,3,x31,3.60338278627611
4,3,x32,1.564499102745589
4,3,x33,2.0356812422430504
4,3,x34,1.9130272239267592
4,3,x35,1.1362956098392216
4,3,x36,2.7596372438390007
4,3,x37,1.8725543739096648
4,3,x38,2.6280623442407105
4,3,x39,2.1071711910465676
4,10,x00,2.808619960078545
4,10,x01,1.8147360885115544
4,10,x02,0.9450814102630443
4,10,x03,4.001259794428369
4,10,x04,1.0302456216592382
4,10,x05,10.300881546222252
4,10,x06,2.8671858905722827
4,10,x07,3.1082089690115904
4,10,x08,1.0745213378159122
4,10,x09,2.2015121592787392
4,10,x10,2.0727995316742263
4,10,x11,2.198659933660826
4,10,x12,1.6471680785626268
4,10,x13,2.24273378572257
4,10,x14,1.3932577002636333
4,10,x15,1.9921938476807233
4,10,x16,1.3320593270191714
4,10,x17,4.80961618433309
4,10,x18,7.081069540471547
4,10,x19,4.32792855009753
4,10,x20,1.5059661707733802
4,10,x21,4.428721571267926
4,10,x22,1.8787802962623152
4,10,x23,0.6718978277460518
4,10,x24,3.3200576898282566
4,10,x25,3.934149115353057
4,10,x26,1.507284292692041
4,10,x27,1.6854417817340628
4,10,x28,1.4167296612389721
4,10,x29,1.0718824447954851
4,10,x30,3.196057333121464
4,10,x31,5.039815131718468
4,10,x32,1.4504100037264178
4,10,x33,1.7837146590501147
4,10,x34,0.5842959549850052
4,10,x35,1.0572686294150466
4,10,x36,1.811316186823349
4,10,x37,1.4779307908183357
4,10,x38,1.7948052707708917
4,10,x39,1.133735930551905
4,30,x00,1.8999125134034125
4,30,x01,1.344266593836692
