model,repeat,p_pos,roc_auc,average_precision,study
auc_model,14,0.2,0.740154411949923,0.43782736689860047,imbalance
ap_model,14,0.2,0.7420835537419079,0.439181144592371,imbalance
auc_model,15,0.2,0.7291268988535439,0.4397038699486362,imbalance
ap_model,15,0.2,0.7278022972936931,0.4383645407029229,imbalance
auc_model,16,0.2,0.7279876413441632,0.4117495748047852,imbalance
ap_model,16,0.2,0.7284122949514255,0.4185336301257372,imbalance
auc_model,17,0.2,0.7303641149651124,0.4068171843607703,imbalance
ap_model,17,0.2,0.7289367490364996,0.4083875641701382,imbalance
auc_model,18,0.2,0.7375096916461574,0.4370757595041437,imbalance
ap_model,18,0.2,0.7384944304464425,0.44235959665902835,imbalance
auc_model,19,0.2,0.738492236494353,0.44284431298773097,imbalance
ap_model,19,0.2,0.7344958417504528,0.44239441571757065,imbalance
auc_model,20,0.2,0.7492797498006688,0.43265630402834576,imbalance
ap_model,20,0.2,0.7458599056807858,0.4290944321431117,imbalance
auc_model,21,0.2,0.7330857658745048,0.42826291570520947,imbalance
ap_model,21,0.2,0.7332906037185534,0.43464293047925306,imbalance
auc_model,22,0.2,0.7468490390186152,0.43251836076072714,imbalance
ap_model,22,0.2,0.7433286732663291,0.4291937624589425,imbalance
auc_model,23,0.2,0.7254616140576424,0.40561991541864906,imbalance
ap_model,23,0.2,0.7225026113937116,0.40537442128816203,imbalance
auc_model,24,0.2,0.7258381101268021,0.40549663599486574,imbalance
ap_model,24,0.2,0.7217123253678752,0.405689883857973,imbalance
auc_model,25,0.2,0.72828978250665,0.430699788395078,imbalance
ap_model,25,0.2,0.7250802661194228,0.4312134033327395,imbalance
auc_model,26,0.2,0.735858518991049,0.41354920213885404,imbalance
ap_model,26,0.2,0.7334932888396744,0.4120381534296197,imbalance
auc_model,27,0.2,0.7318520055204643,0.43071029644635883,imbalance
ap_model,27,0.2,0.7308577803439361,0.42960864383438513,imbalance
auc_model,28,0.2,0.7238745689760582,0.4344263762719217,imbalance
ap_model,28,0.2,0.7213770756401163,0.4324771009167216,imbalance
auc_model,29,0.2,0.7278527160523734,0.4031443051997543,imbalance
ap_model,29,0.2,0.7282397981485363,0.40890134147889956,imbalance
auc_model,30,0.2,0.7418258475963729,0.41974328340463724,imbalance
ap_model,30,0.2,0.7417773945738735,0.42138942328862794,imbalance
auc_model,31,0.2,0.7175865788143463,0.42318086338775107,imbalance
ap_model,31,0.2,0.7176915206053267,0.42170508108644883,imbalance
auc_model,32,0.2,0.7393889127578627,0.42132805241235444,imbalance
ap_model,32,0.2,0.7356047048860828,0.41893981798372604,imbalance
auc_model,33,0.2,0.7462220709887283,0.42358702705769724,imbalance
ap_model,33,0.2,0.7473546541765592,0.42557935512230427,imbalance
auc_model,34,0.2,0.7206954386680087,0.40129402298280403,imbalance
ap_model,34,0.2,0.7207601567019492,0.40318108223922466,imbalance
auc_model,35,0.2,0.7334481229677801,0.42193893452816383,imbalance
ap_model,35,0.2,0.7323695684303873,0.42201391163337254,imbalance
auc_model,36,0.2,0.719719824968419,0.40781548532638334,imbalance
ap_model,36,0.2,0.7182502206620671,0.40830045874496146,imbalance
auc_model,37,0.2,0.7388595155221437,0.42305441885129114,imbalance
ap_model,37,0.2,0.7349672694471057,0.4299682501543269,imbalance
auc_model,38,0.2,0.7309076465702972,0.4346155201188525,imbalance
ap_model,38,0.2,0.7275552008232731,0.43496051111676437,imbalance
auc_model,39,0.2,0.7241264300020532,0.41925819489734184,imbalance
ap_model,39,0.2,0.7228022374471678,0.419228162341139,imbalance
auc_model,0,0.35,0.7349817447140148,0.5976605249762043,imbalance
ap_model,0,0.35,0.7337873153293575,0.589904948388979,imbalance
auc_model,1,0.35,0.7209484055530871,0.5677480956496388,imbalance
ap_model,1,0.35,0.7202665289095147,0.5616381538565448,imbalance
auc_model,2,0.35,0.7371131459796815,0.6035977494262528,imbalance
ap_model,2,0.35,0.737471438422151,0.600153532413867,imbalance
auc_model,3,0.35,0.7246794207557428,0.5833190869320584,imbalance
ap_model,3,0.35,0.7247381305568871,0.5784738189311844,imbalance
