model,repeat,p_pos,roc_auc,average_precision,n_iter,study,info_scale
ap_model,24,0.1,0.7197984705494813,0.2322918354627411,46.0,imbalance,
penalized_model,24,0.1,0.7187592823717726,0.22551654284552589,33.0,imbalance,
auc_model,25,0.1,0.6944289334359022,0.1891188810350551,86.0,imbalance,
ap_model,25,0.1,0.6999434363545862,0.19368543426526236,46.0,imbalance,
penalized_model,25,0.1,0.6972962577492194,0.1989914323426839,33.0,imbalance,
auc_model,26,0.1,0.7138249590746232,0.19486768296531637,86.0,imbalance,
ap_model,26,0.1,0.7187987436681493,0.20666953044076702,46.0,imbalance,
penalized_model,26,0.1,0.7221548176118111,0.21186064138774036,33.0,imbalance,
auc_model,27,0.1,0.7127594948377581,0.21781545450150144,86.0,imbalance,
ap_model,27,0.1,0.7127329922566372,0.21416455936059514,46.0,imbalance,
penalized_model,27,0.1,0.7078194137168141,0.21707034746871295,33.0,imbalance,
auc_model,28,0.1,0.6959915690631914,0.2277030034055626,86.0,imbalance,
ap_model,28,0.1,0.7007959632004552,0.2369386338793895,46.0,imbalance,
penalized_model,28,0.1,0.6952378098120898,0.2477799365219614,33.0,imbalance,
auc_model,29,0.1,0.7171528320796484,0.22084687135719724,86.0,imbalance,
ap_model,29,0.1,0.7182731087346776,0.22500425233505134,46.0,imbalance,
penalized_model,29,0.1,0.7104049604070528,0.24128787790483666,33.0,imbalance,
auc_model,30,0.1,0.7112205223027186,0.23292204279960696,86.0,imbalance,
ap_model,30,0.1,0.7157739565074052,0.2415414650568081,46.0,imbalance,
penalized_model,30,0.1,0.7171556806972582,0.24039555909692303,33.0,imbalance,
auc_model,31,0.1,0.6989407323428478,0.22750856513614146,86.0,imbalance,
ap_model,31,0.1,0.7015359975931915,0.2374795727687447,46.0,imbalance,
penalized_model,31,0.1,0.7020711980160829,0.2528667814700994,33.0,imbalance,
auc_model,32,0.1,0.7004563819028404,0.21105160926830085,86.0,imbalance,
ap_model,32,0.1,0.7021592579473254,0.21541558850327136,46.0,imbalance,
penalized_model,32,0.1,0.7045761397996848,0.23025116986633332,33.0,imbalance,
auc_model,33,0.1,0.7299258561113793,0.257399821053647,86.0,imbalance,
ap_model,33,0.1,0.7350087844526737,0.2588716532727534,46.0,imbalance,
penalized_model,33,0.1,0.7290278805045632,0.25762106384766165,33.0,imbalance,
auc_model,34,0.1,0.7245675280854663,0.2340067645602117,86.0,imbalance,
ap_model,34,0.1,0.7255715466189231,0.24039487380727398,46.0,imbalance,
penalized_model,34,0.1,0.7202464979243317,0.24964571310852035,33.0,imbalance,
auc_model,35,0.1,0.6971819104479704,0.20151968970414152,86.0,imbalance,
ap_model,35,0.1,0.7041428856900456,0.20547887466277107,46.0,imbalance,
penalized_model,35,0.1,0.7041823258846874,0.2097048822188283,33.0,imbalance,
auc_model,36,0.1,0.7118159792926873,0.20689221042539788,86.0,imbalance,
ap_model,36,0.1,0.7197332885398575,0.21737313681765727,46.0,imbalance,
penalized_model,36,0.1,0.7181981138078698,0.22564077817095654,33.0,imbalance,
auc_model,37,0.1,0.7054819130499591,0.19679701853182646,86.0,imbalance,
